Dissection_date,Butterfly_num,Age_d,mature_oocytes,immature_oocytes,ovarian_score,Notes,,,
10/6/2021,FC37,13-Dec,2,0,,"Lots of yolk deposition -- 2 fully mature, chorionated oocytes but surprisingly no immature oocytes observed",,,
10/6/2021,FS47,16,0,0,,Yolk deposition,,,
10/6/2021,FC11,33,10,26,,,,,
10/6/2021,SS5,41,34,37,,Might have been one of the females to have laid unfertilized egg in cage before being dissected,,,
10/7/2021,FC17,32,0,12,,Abdomen seemed pretty empty of fat bodies or oocytes,,,
10/7/2021,UNK,,21,0,,Interesting no immature oocytes observed but was presence of mature oocytes ,,,
10/9/2021,FS41,19,0,0,,Yolk deposition but didn't see much tract development,,,
10/9/2021,FS20,37,0,0,,"Yolk deposition (little) but didn't see much tract development. Interesting, though, ovaries looked pretty enlarged.",,,
11/9/2021,F()35,20,8,2,,Body cavity was filling with cloudy liquid so it was hard to tell how many immature eggs there actually were,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,16 fall,,,
,,,,,,3 w/ mature oocytes,,,0.1875
